Time,Price_SEK_kWh,Solar_watt,Solar_kWh_15min,Pin_pred_W,Solar_kWh,Pin_pred_kWh,Boiler_kWh_per_15min,Load_minus_Boiler_kWh
2025-12-17 08:45:00+01:00,0.78939,0.0,0.0,3374.197334336775,0.0,0.8435493335841937,0.27116644945355195,0.5723828841306418
2025-12-17 09:00:00+01:00,0.76619,44.0,0.011,3383.042166666668,0.011,0.845760541666667,0.22569611976320586,0.6200644219034612
2025-12-17 09:15:00+01:00,0.76619,58.5,0.014625,3331.158296875001,0.014625,0.8327895742187502,0.13740824574984822,0.695381328468902
2025-12-17 09:30:00+01:00,0.76619,73.0,0.01825,3279.274427083333,0.01825,0.8198186067708333,0.1491090942622951,0.6707095125085382
2025-12-17 09:45:00+01:00,0.7663,87.5,0.021875,3227.3905572916656,0.021875,0.8068476393229164,0.16808842334547663,0.6387592159774398
2025-12-17 10:00:00+01:00,0.7663,102.0,0.0255,3175.5066874999984,0.0255,0.7938766718749996,0.22669750652701884,0.5671791653479807
2025-12-17 10:15:00+01:00,0.86165,110.5,0.027625,3289.440637423546,0.027625,0.8223601593558865,0.23967359820886464,0.5826865611470218
2025-12-17 10:30:00+01:00,0.81808,119.0,0.02975,3403.374587347093,0.02975,0.8508436468367733,0.2501484468731026,0.6006951999636707
2025-12-17 10:45:00+01:00,0.77265,127.5,0.031875,3517.308537270641,0.031875,0.8793271343176602,0.27861172191864,0.6007154123990202
2025-12-17 11:00:00+01:00,0.83712,136.0,0.034,3631.242487194189,0.034,0.9078106217985472,0.2914308703703704,0.6163797514281768
2025-12-17 11:15:00+01:00,0.78151,135.5,0.033875,3729.3631153956408,0.033875,0.9323407788489102,0.3561798014571949,0.5761609773917153
2025-12-17 11:30:00+01:00,0.75995,135.0,0.03375,3827.483743597093,0.03375,0.9568709358992733,0.3457430766545234,0.6111278592447499
2025-12-17 11:45:00+01:00,0.72973,134.5,0.033625,3925.604371798546,0.033625,0.9814010929496364,0.3785594612932605,0.6028416316563758
2025-12-17 12:00:00+01:00,0.73751,134.0,0.0335,4023.724999999998,0.0335,1.0059312499999995,0.3552390951730419,0.6506921548269575
2025-12-17 12:15:00+01:00,0.72886,124.0,0.031,4047.67636017972,0.031,1.01191909004493,0.4275768986035216,0.5843421914414084
2025-12-17 12:30:00+01:00,0.75294,114.0,0.0285,4071.627720359441,0.0285,1.0179069300898602,0.423111641317547,0.5947952887723131
2025-12-17 12:45:00+01:00,0.7663,104.0,0.026,4095.5790805391625,0.026,1.0238947701347907,0.3127608532179721,0.7111339169168186
2025-12-17 13:00:00+01:00,0.76662,94.0,0.0235,4119.530440718884,0.0235,1.029882610179721,0.1985252436247723,0.8313573665549486
2025-12-17 13:15:00+01:00,0.77823,83.25,0.0208125,4265.645419080831,0.0208125,1.0664113547702077,0.24882014799635704,0.8175912067738507
2025-12-17 13:30:00+01:00,0.82027,72.5,0.018125,4411.7603974427775,0.018125,1.1029400993606944,0.284342056010929,0.8185980433497654
2025-12-17 13:45:00+01:00,0.8276,61.75,0.0154375,4557.875375804724,0.0154375,1.139468843951181,0.22995264890710385,0.9095161950440772
2025-12-17 14:00:00+01:00,0.77637,51.0,0.01275,4703.990354166671,0.01275,1.1759975885416678,0.19613551290224654,0.9798620756394213
2025-12-17 14:15:00+01:00,0.79618,51.0,0.01275,4671.556640625002,0.01275,1.1678891601562504,0.23775056709168185,0.9301385930645686
2025-12-17 14:30:00+01:00,0.84336,51.0,0.01275,4639.122927083334,0.01275,1.1597807317708335,0.302177669247116,0.8576030625237175
2025-12-17 14:45:00+01:00,0.96323,51.0,0.01275,4606.689213541666,0.01275,1.1516723033854164,0.2807501528536734,0.870922150531743
2025-12-17 15:00:00+01:00,0.7663,51.0,0.01275,4574.255499999997,0.01275,1.1435638749999992,0.2278933249848209,0.9156705500151783
2025-12-17 15:15:00+01:00,0.81972,51.0,0.01275,4300.666046874997,0.01275,1.0751665117187492,0.25279519596235583,0.8223713157563934
2025-12-17 15:30:00+01:00,0.8773,51.0,0.01275,4027.076593749997,0.01275,1.0067691484374992,0.23884599271402554,0.7679231557234737
2025-12-17 15:45:00+01:00,0.89295,0.0,0.0,3753.487140624997,0.0,0.9383717851562493,0.19864247449908926,0.7397293106571601
2025-12-17 16:00:00+01:00,0.79618,0.0,0.0,3479.8976874999976,0.0,0.8699744218749994,0.16775388646023073,0.7022205354147687
2025-12-17 16:15:00+01:00,0.82552,0.0,0.0,3376.6953749999984,0.0,0.8441738437499996,0.13999113737097754,0.704182706379022
2025-12-17 16:30:00+01:00,0.8472,0.0,0.0,3273.4930625,0.0,0.818373265625,0.14034568928354585,0.6780275763414542
2025-12-17 16:45:00+01:00,0.8588,0.0,0.0,3170.290750000001,0.0,0.7925726875000002,0.12581668564055862,0.6667560018594416
2025-12-17 17:00:00+01:00,0.85442,0.0,0.0,3067.088437500002,0.0,0.7667721093750005,0.20134926867030967,0.5654228407046908
2025-12-17 17:15:00+01:00,0.83636,0.0,0.0,3040.185541666668,0.0,0.760046385416667,0.191917107619915,0.568129277796752
2025-12-17 17:30:00+01:00,0.80822,0.0,0.0,3013.282645833333,0.0,0.7533206614583332,0.19400438904068001,0.5593162724176532
2025-12-17 17:45:00+01:00,0.74834,0.0,0.0,2986.3797499999987,0.0,0.7465949374999997,0.21814060579842137,0.5284543317015784
2025-12-17 18:00:00+01:00,0.85891,0.0,0.0,2959.4768541666645,0.0,0.7398692135416661,0.2049300523679417,0.5349391611737244
2025-12-17 18:15:00+01:00,0.78425,0.0,0.0,2964.6708437499983,0.0,0.7411677109374996,0.24843001381299334,0.4927376971245062
2025-12-17 18:30:00+01:00,0.70992,0.0,0.0,2969.864833333332,0.0,0.742466208333333,0.22563607468123864,0.5168301336520944
2025-12-17 18:45:00+01:00,0.63088,0.0,0.0,2975.058822916665,0.0,0.7437647057291663,0.17771787537947784,0.5660468303496885
2025-12-17 19:00:00+01:00,0.75097,0.0,0.0,2980.252812499999,0.0,0.7450632031249997,0.261068073922283,0.48399512920271676
2025-12-17 19:15:00+01:00,0.64369,0.0,0.0,2955.9774479166654,0.0,0.7389943619791663,0.19128679310868246,0.5477075688704839
2025-12-17 19:30:00+01:00,0.61993,0.0,0.0,2931.702083333332,0.0,0.7329255208333331,0.29219843078324226,0.4407270900500908
2025-12-17 19:45:00+01:00,0.57899,0.0,0.0,2907.426718749998,0.0,0.7268566796874996,0.36319935746812393,0.36365732221937563
2025-12-17 20:00:00+01:00,0.71911,0.0,0.0,2883.1513541666645,0.0,0.7207878385416662,0.37543902322404377,0.3453488153176224
2025-12-17 20:15:00+01:00,0.60165,0.0,0.0,2885.8362187499984,0.0,0.7214590546874996,0.25700343488160293,0.46445561980589667
2025-12-17 20:30:00+01:00,0.55436,0.0,0.0,2888.521083333332,0.0,0.722130270833333,0.22701520537340622,0.4951150654599268
2025-12-17 20:45:00+01:00,0.54495,0.0,0.0,2891.205947916666,0.0,0.7228014869791665,0.31380385853066184,0.4089976284485046
2025-12-17 21:00:00+01:00,0.55962,0.0,0.0,2893.8908125,0.0,0.723472703125,0.3146915091074682,0.4087811940175318
2025-12-17 21:15:00+01:00,0.55469,0.0,0.0,2983.766796875,0.0,0.7459416992187501,0.2325101246205222,0.5134315745982279
2025-12-17 21:30:00+01:00,0.54506,0.0,0.0,3073.642781250001,0.0,0.7684106953125003,0.18702645157862785,0.5813842437338724
2025-12-17 21:45:00+01:00,0.53433,0.0,0.0,3163.518765625002,0.0,0.7908796914062505,0.2039569408014572,0.5869227506047933
2025-12-17 22:00:00+01:00,0.55097,0.0,0.0,3253.394750000002,0.0,0.8133486875000006,0.3908261314511233,0.42252255604887723
2025-12-17 22:15:00+01:00,0.54166,0.0,0.0,3215.611208333335,0.0,0.8039028020833338,0.4069966850333941,0.39690611704993967
2025-12-17 22:30:00+01:00,0.52426,0.0,0.0,3177.827666666668,0.0,0.794456916666667,0.30400175491976994,0.490455161746897
2025-12-17 22:45:00+01:00,0.50762,0.0,0.0,3140.0441250000013,0.0,0.7850110312500003,0.3016011099000908,0.48340992134990945
2025-12-17 23:00:00+01:00,0.52097,0.0,0.0,3102.260583333334,0.0,0.7755651458333336,0.219069867998789,0.5564952778345446
2025-12-17 23:15:00+01:00,0.51429,0.0,0.0,3102.260583333334,0.0,0.7755651458333336,0.278820487284287,0.4967446585490466
2025-12-17 23:30:00+01:00,0.49382,0.0,0.0,3102.260583333334,0.0,0.7755651458333336,0.29584370734669097,0.4797214384866426
2025-12-17 23:45:00+01:00,0.47631,0.0,0.0,3102.260583333334,0.0,0.7755651458333336,0.3175215704310868,0.45804357540224677
